"state","state_total","species","species_total","p"
"Alaska",8740,"Red-Breasted Nuthatch",315,0.036
"Vermont",59324,"Red-Breasted Nuthatch",483,0.0081
"North Dakota",10920,"Red-Breasted Nuthatch",78,0.0071
"Maine",134900,"Red-Breasted Nuthatch",780,0.0058
"Idaho",54716,"Red-Breasted Nuthatch",195,0.0036
"Minnesota",413336,"Red-Breasted Nuthatch",1066,0.0026
"Michigan",1006556,"Red-Breasted Nuthatch",2400,0.0024
"Washington",686801,"Red-Breasted Nuthatch",1650,0.0024
"Wisconsin",452914,"Red-Breasted Nuthatch",1083,0.0024
"South Dakota",15062,"Red-Breasted Nuthatch",36,0.0024
"Nebraska",151459,"Red-Breasted Nuthatch",309,0.002
"New Hampshire",248851,"Red-Breasted Nuthatch",478,0.0019
"Montana",25244,"Red-Breasted Nuthatch",42,0.0017
"Oregon",466881,"Red-Breasted Nuthatch",743,0.0016
"Illinois",1120326,"Red-Breasted Nuthatch",1234,0.0011
"New York",1336435,"Red-Breasted Nuthatch",1369,0.001
"Massachusetts",1069489,"Red-Breasted Nuthatch",1066,0.001
"Oregon",466881,"Red-Breasted Sapsucker",1000,0.0021
"Nevada",90901,"Red-Breasted Sapsucker",159,0.0017
"Washington",686801,"Red-Breasted Sapsucker",1105,0.0016
"California",2195708,"Red-Breasted Sapsucker",2393,0.0011
"Hawaii",53166,"Red-Crested Cardinal",3478,0.0654
"New Hampshire",248851,"Red-Headed Woodpecker",925,0.0037
"Connecticut",577033,"Red-Headed Woodpecker",1786,0.0031
"Massachusetts",1069489,"Red-Headed Woodpecker",3253,0.003
"District of Columbia",70055,"Red-Headed Woodpecker",211,0.003
"Vermont",59324,"Red-Headed Woodpecker",172,0.0029
"Rhode Island",130587,"Red-Headed Woodpecker",338,0.0026
"New York",1336435,"Red-Headed Woodpecker",3285,0.0025
"Ohio",1322484,"Red-Headed Woodpecker",2910,0.0022
"New Jersey",1257279,"Red-Headed Woodpecker",2779,0.0022
"Michigan",1006556,"Red-Headed Woodpecker",2232,0.0022
"Indiana",849567,"Red-Headed Woodpecker",1852,0.0022
"Pennsylvania",1941447,"Red-Headed Woodpecker",4069,0.0021
"Maryland",1132870,"Red-Headed Woodpecker",2375,0.0021
"Illinois",1120326,"Red-Headed Woodpecker",2336,0.0021
"Maine",134900,"Red-Headed Woodpecker",289,0.0021
"Virginia",1776624,"Red-Headed Woodpecker",3616,0.002
"South Carolina",688623,"Red-Headed Woodpecker",1352,0.002
"Missouri",934010,"Red-Headed Woodpecker",1777,0.0019
"Kansas",534827,"Red-Headed Woodpecker",1018,0.0019
"Wisconsin",452914,"Red-Headed Woodpecker",871,0.0019
"Alabama",431100,"Red-Headed Woodpecker",812,0.0019
"Kentucky",399499,"Red-Headed Woodpecker",743,0.0019
"West Virginia",167000,"Red-Headed Woodpecker",324,0.0019
"North Carolina",1909882,"Red-Headed Woodpecker",3523,0.0018
"Minnesota",413336,"Red-Headed Woodpecker",716,0.0017
"Delaware",142005,"Red-Headed Woodpecker",246,0.0017
"Georgia",1299183,"Red-Headed Woodpecker",2089,0.0016
"Tennessee",975045,"Red-Headed Woodpecker",1477,0.0015
"Iowa",273596,"Red-Headed Woodpecker",424,0.0015
"South Dakota",15062,"Red-Headed Woodpecker",23,0.0015
"North Dakota",10920,"Red-Headed Woodpecker",16,0.0015
"Nebraska",151459,"Red-Headed Woodpecker",195,0.0013
"Florida",1055743,"Red-Headed Woodpecker",1220,0.0012
"Hawaii",53166,"Red-Vented Bulbul",399,0.0075
"Louisiana",231343,"Red-Winged Blackbird",11324,0.0489
"Idaho",54716,"Red-Winged Blackbird",2369,0.0433
"Mississippi",136366,"Red-Winged Blackbird",5071,0.0372
"Washington",686801,"Red-Winged Blackbird",25482,0.0371
"Florida",1055743,"Red-Winged Blackbird",38950,0.0369
"Wyoming",11078,"Red-Winged Blackbird",392,0.0354
"Delaware",142005,"Red-Winged Blackbird",4998,0.0352
"Colorado",486631,"Red-Winged Blackbird",17047,0.035
"Oklahoma",313048,"Red-Winged Blackbird",10564,0.0337
"Texas",2095781,"Red-Winged Blackbird",63623,0.0304
"Montana",25244,"Red-Winged Blackbird",721,0.0286
"Oregon",466881,"Red-Winged Blackbird",13153,0.0282
"Kansas",534827,"Red-Winged Blackbird",14222,0.0266
"Illinois",1120326,"Red-Winged Blackbird",29342,0.0262
"Rhode Island",130587,"Red-Winged Blackbird",3270,0.025
"Michigan",1006556,"Red-Winged Blackbird",23268,0.0231
"Indiana",849567,"Red-Winged Blackbird",19441,0.0229
"Utah",194571,"Red-Winged Blackbird",4314,0.0222
"New Jersey",1257279,"Red-Winged Blackbird",27690,0.022
"Nebraska",151459,"Red-Winged Blackbird",3314,0.0219
"Arkansas",293409,"Red-Winged Blackbird",6297,0.0215
"South Dakota",15062,"Red-Winged Blackbird",322,0.0214
"New York",1336435,"Red-Winged Blackbird",27619,0.0207
"Wisconsin",452914,"Red-Winged Blackbird",9305,0.0205
"Ohio",1322484,"Red-Winged Blackbird",26808,0.0203
"Iowa",273596,"Red-Winged Blackbird",5462,0.02
"Maryland",1132870,"Red-Winged Blackbird",22279,0.0197
"Pennsylvania",1941447,"Red-Winged Blackbird",36875,0.019
"Virginia",1776624,"Red-Winged Blackbird",32786,0.0185
"Connecticut",577033,"Red-Winged Blackbird",10639,0.0184
"Tennessee",975045,"Red-Winged Blackbird",16112,0.0165
"Kentucky",399499,"Red-Winged Blackbird",6388,0.016
"Nevada",90901,"Red-Winged Blackbird",1421,0.0156
"Missouri",934010,"Red-Winged Blackbird",14406,0.0154
"Massachusetts",1069489,"Red-Winged Blackbird",15309,0.0143
"Alabama",431100,"Red-Winged Blackbird",6102,0.0142
"West Virginia",167000,"Red-Winged Blackbird",2337,0.014
"South Carolina",688623,"Red-Winged Blackbird",9043,0.0131
"Minnesota",413336,"Red-Winged Blackbird",5203,0.0126
"Georgia",1299183,"Red-Winged Blackbird",14960,0.0115
"District of Columbia",70055,"Red-Winged Blackbird",804,0.0115
"North Dakota",10920,"Red-Winged Blackbird",126,0.0115
"North Carolina",1909882,"Red-Winged Blackbird",21341,0.0112
"Maine",134900,"Red-Winged Blackbird",1459,0.0108
"New Hampshire",248851,"Red-Winged Blackbird",2612,0.0105
"Vermont",59324,"Red-Winged Blackbird",558,0.0094
"New Mexico",156851,"Red-Winged Blackbird",1450,0.0092
"California",2195708,"Red-Winged Blackbird",13950,0.0064
"Arizona",582640,"Red-Winged Blackbird",2408,0.0041
"Oklahoma",313048,"Rose-Breasted Grosbeak",4800,0.0153
"Kansas",534827,"Rose-Breasted Grosbeak",7776,0.0145
"Rhode Island",130587,"Rose-Breasted Grosbeak",1804,0.0138
"South Carolina",688623,"Rose-Breasted Grosbeak",8332,0.0121
"Louisiana",231343,"Rose-Breasted Grosbeak",2612,0.0113
"Nebraska",151459,"Rose-Breasted Grosbeak",1708,0.0113
"Florida",1055743,"Rose-Breasted Grosbeak",11816,0.0112
"Connecticut",577033,"Rose-Breasted Grosbeak",6241,0.0108
"Alabama",431100,"Rose-Breasted Grosbeak",4643,0.0108
"Iowa",273596,"Rose-Breasted Grosbeak",2934,0.0107
"Vermont",59324,"Rose-Breasted Grosbeak",627,0.0106
"North Carolina",1909882,"Rose-Breasted Grosbeak",19912,0.0104
"Georgia",1299183,"Rose-Breasted Grosbeak",13440,0.0103
"New Hampshire",248851,"Rose-Breasted Grosbeak",2512,0.0101
"Wisconsin",452914,"Rose-Breasted Grosbeak",4440,0.0098
"Maine",134900,"Rose-Breasted Grosbeak",1316,0.0098
"District of Columbia",70055,"Rose-Breasted Grosbeak",688,0.0098
"Massachusetts",1069489,"Rose-Breasted Grosbeak",10246,0.0096
"New York",1336435,"Rose-Breasted Grosbeak",12651,0.0095
"Illinois",1120326,"Rose-Breasted Grosbeak",10585,0.0094
"Delaware",142005,"Rose-Breasted Grosbeak",1261,0.0089
"Michigan",1006556,"Rose-Breasted Grosbeak",8826,0.0088
"Missouri",934010,"Rose-Breasted Grosbeak",8182,0.0088
"New Jersey",1257279,"Rose-Breasted Grosbeak",10971,0.0087
"Pennsylvania",1941447,"Rose-Breasted Grosbeak",16364,0.0084
"Maryland",1132870,"Rose-Breasted Grosbeak",9319,0.0082
"Virginia",1776624,"Rose-Breasted Grosbeak",14372,0.0081
"Ohio",1322484,"Rose-Breasted Grosbeak",10772,0.0081
"Minnesota",413336,"Rose-Breasted Grosbeak",3303,0.008
"Mississippi",136366,"Rose-Breasted Grosbeak",1092,0.008
"Indiana",849567,"Rose-Breasted Grosbeak",6591,0.0078
"North Dakota",10920,"Rose-Breasted Grosbeak",85,0.0078
"Tennessee",975045,"Rose-Breasted Grosbeak",7277,0.0075
"West Virginia",167000,"Rose-Breasted Grosbeak",1232,0.0074
"Arkansas",293409,"Rose-Breasted Grosbeak",2114,0.0072
"South Dakota",15062,"Rose-Breasted Grosbeak",104,0.0069
"Texas",2095781,"Rose-Breasted Grosbeak",14299,0.0068
"Kentucky",399499,"Rose-Breasted Grosbeak",2532,0.0063
"Montana",25244,"Rose-Breasted Grosbeak",104,0.0041
"Idaho",54716,"Rose-Breasted Grosbeak",190,0.0035
"Colorado",486631,"Rose-Breasted Grosbeak",1420,0.0029
"New Mexico",156851,"Rose-Breasted Grosbeak",457,0.0029
"Wyoming",11078,"Rose-Breasted Grosbeak",17,0.0015
"Arizona",582640,"Rose-Breasted Grosbeak",804,0.0014
"California",2195708,"Rose-Breasted Grosbeak",2710,0.0012
"Nevada",90901,"Rose-Breasted Grosbeak",95,0.001
"Hawaii",53166,"Rose-Ringed Parakeet",125,0.0024
"Hawaii",53166,"Rosy-Faced Lovebird",1449,0.0273
"Nevada",90901,"Ruby-Crowned Kinglet",244,0.0027
"New Mexico",156851,"Rufous-Crowned Sparrow",1755,0.0112
"Texas",2095781,"Rufous-Crowned Sparrow",18666,0.0089
"Arizona",582640,"Rufous-Crowned Sparrow",3368,0.0058
"Alaska",8740,"Rusty Blackbird",50,0.0057
"Hawaii",53166,"Saffron Finch",1329,0.025
"California",2195708,"Scaly-Breasted Munia",6059,0.0028
"Connecticut",577033,"Scarlet Tanager",2742,0.0048
"Vermont",59324,"Scarlet Tanager",287,0.0048
"New Hampshire",248851,"Scarlet Tanager",1175,0.0047
"Delaware",142005,"Scarlet Tanager",664,0.0047
"New York",1336435,"Scarlet Tanager",6182,0.0046
"Rhode Island",130587,"Scarlet Tanager",582,0.0045
"Massachusetts",1069489,"Scarlet Tanager",4750,0.0044
"Maryland",1132870,"Scarlet Tanager",4827,0.0043
"Kentucky",399499,"Scarlet Tanager",1713,0.0043
"Maine",134900,"Scarlet Tanager",560,0.0042
"Pennsylvania",1941447,"Scarlet Tanager",7957,0.0041
"West Virginia",167000,"Scarlet Tanager",679,0.0041
"Ohio",1322484,"Scarlet Tanager",5014,0.0038
"Virginia",1776624,"Scarlet Tanager",6589,0.0037
"New Jersey",1257279,"Scarlet Tanager",4476,0.0036
"Michigan",1006556,"Scarlet Tanager",3660,0.0036
"District of Columbia",70055,"Scarlet Tanager",240,0.0034
"Indiana",849567,"Scarlet Tanager",2639,0.0031
"Wisconsin",452914,"Scarlet Tanager",1395,0.0031
"Illinois",1120326,"Scarlet Tanager",3266,0.0029
"Florida",1055743,"Scarlet Tanager",2981,0.0028
"Missouri",934010,"Scarlet Tanager",2248,0.0024
"Minnesota",413336,"Scarlet Tanager",986,0.0024
"North Carolina",1909882,"Scarlet Tanager",4461,0.0023
"South Carolina",688623,"Scarlet Tanager",1614,0.0023
"Tennessee",975045,"Scarlet Tanager",2158,0.0022
"Arkansas",293409,"Scarlet Tanager",611,0.0021
"Iowa",273596,"Scarlet Tanager",574,0.0021
"Georgia",1299183,"Scarlet Tanager",2382,0.0018
"Alabama",431100,"Scarlet Tanager",741,0.0017
"Mississippi",136366,"Scarlet Tanager",221,0.0016
"Louisiana",231343,"Scarlet Tanager",308,0.0013
"Kansas",534827,"Scarlet Tanager",602,0.0011
"Nebraska",151459,"Scarlet Tanager",170,0.0011
"Utah",194571,"Scotts Oriole",432,0.0022
"Rhode Island",130587,"Song Sparrow",5355,0.041
"Delaware",142005,"Song Sparrow",5090,0.0358
"Pennsylvania",1941447,"Song Sparrow",63565,0.0327
"Oregon",466881,"Song Sparrow",12537,0.0269
"Washington",686801,"Song Sparrow",17199,0.025
"New Jersey",1257279,"Song Sparrow",31292,0.0249
"Connecticut",577033,"Song Sparrow",13554,0.0235
"Idaho",54716,"Song Sparrow",1244,0.0227
"West Virginia",167000,"Song Sparrow",3393,0.0203
"New York",1336435,"Song Sparrow",26414,0.0198
"Massachusetts",1069489,"Song Sparrow",20690,0.0193
"Virginia",1776624,"Song Sparrow",31047,0.0175
"Tennessee",975045,"Song Sparrow",16555,0.017
"North Carolina",1909882,"Song Sparrow",31973,0.0167
"Maryland",1132870,"Song Sparrow",14387,0.0127
"Maine",134900,"Song Sparrow",1703,0.0126
"District of Columbia",70055,"Song Sparrow",874,0.0125
"Georgia",1299183,"Song Sparrow",16074,0.0124
"Utah",194571,"Song Sparrow",2355,0.0121
"Kentucky",399499,"Song Sparrow",3699,0.0093
"Montana",25244,"Song Sparrow",221,0.0088
"California",2195708,"Song Sparrow",16727,0.0076
"Ohio",1322484,"Song Sparrow",8678,0.0066
"New Hampshire",248851,"Song Sparrow",1587,0.0064
"Alabama",431100,"Song Sparrow",2495,0.0058
"Indiana",849567,"Song Sparrow",4647,0.0055
"Nebraska",151459,"Song Sparrow",823,0.0054
"South Carolina",688623,"Song Sparrow",3354,0.0049
"Kansas",534827,"Song Sparrow",2018,0.0038
"Nevada",90901,"Song Sparrow",289,0.0032
"Missouri",934010,"Song Sparrow",2875,0.0031
"North Dakota",10920,"Song Sparrow",33,0.003
"Vermont",59324,"Song Sparrow",166,0.0028
"Wisconsin",452914,"Song Sparrow",998,0.0022
"Louisiana",231343,"Song Sparrow",473,0.002
"Michigan",1006556,"Song Sparrow",1847,0.0018
"Texas",2095781,"Song Sparrow",3305,0.0016
"Colorado",486631,"Song Sparrow",734,0.0015
"Minnesota",413336,"Song Sparrow",589,0.0014
"Oklahoma",313048,"Song Sparrow",427,0.0014
"Illinois",1120326,"Song Sparrow",1503,0.0013
"Arkansas",293409,"Song Sparrow",394,0.0013
"Wyoming",11078,"Song Sparrow",14,0.0013
"South Dakota",15062,"Song Sparrow",16,0.0011
"Florida",1055743,"Song Sparrow",1108,0.001
"Mississippi",136366,"Song Sparrow",131,0.001
"Washington",686801,"Sparrow",1887,0.0027
"Hawaii",53166,"Spotted Dove",1637,0.0308
"Washington",686801,"Spotted Towhee",47294,0.0689
"Oregon",466881,"Spotted Towhee",25761,0.0552
"Utah",194571,"Spotted Towhee",6460,0.0332
"Nevada",90901,"Spotted Towhee",2326,0.0256
"California",2195708,"Spotted Towhee",45378,0.0207
"Colorado",486631,"Spotted Towhee",9300,0.0191
"New Mexico",156851,"Spotted Towhee",2969,0.0189
"Arizona",582640,"Spotted Towhee",8802,0.0151
"Idaho",54716,"Spotted Towhee",774,0.0141
"Kansas",534827,"Spotted Towhee",4113,0.0077
"Wyoming",11078,"Spotted Towhee",79,0.0071
"Montana",25244,"Spotted Towhee",176,0.007
"Texas",2095781,"Spotted Towhee",12126,0.0058
"Oklahoma",313048,"Spotted Towhee",1706,0.0054
"South Dakota",15062,"Spotted Towhee",77,0.0051
"Arkansas",293409,"Spotted Towhee",1140,0.0039
"Nebraska",151459,"Spotted Towhee",568,0.0038
"Louisiana",231343,"Spotted Towhee",698,0.003
"Minnesota",413336,"Spotted Towhee",1193,0.0029
"Missouri",934010,"Spotted Towhee",2516,0.0027
"Illinois",1120326,"Spotted Towhee",2286,0.002
"Iowa",273596,"Spotted Towhee",487,0.0018
"New Hampshire",248851,"Spotted Towhee",350,0.0014
"Massachusetts",1069489,"Spotted Towhee",1039,0.001
"Alaska",8740,"Stellers Jay",702,0.0803
"Washington",686801,"Stellers Jay",29576,0.0431
"Oregon",466881,"Stellers Jay",17116,0.0367
"Nevada",90901,"Stellers Jay",1756,0.0193
"Utah",194571,"Stellers Jay",2730,0.014
"Idaho",54716,"Stellers Jay",702,0.0128
"Montana",25244,"Stellers Jay",286,0.0113
"Colorado",486631,"Stellers Jay",5207,0.0107
"California",2195708,"Stellers Jay",22620,0.0103
"New Mexico",156851,"Stellers Jay",763,0.0049
"Wyoming",11078,"Stellers Jay",33,0.003
"Arizona",582640,"Stellers Jay",1657,0.0028
"Arkansas",293409,"Summer Tanager",810,0.0028
"Oklahoma",313048,"Summer Tanager",825,0.0026
"Texas",2095781,"Summer Tanager",5219,0.0025
"Florida",1055743,"Summer Tanager",2682,0.0025
"Kansas",534827,"Summer Tanager",1130,0.0021
"Louisiana",231343,"Summer Tanager",497,0.0021
"Missouri",934010,"Summer Tanager",1606,0.0017
"Alabama",431100,"Summer Tanager",638,0.0015
"Minnesota",413336,"Summer Tanager",603,0.0015
"Kentucky",399499,"Summer Tanager",615,0.0015
"Mississippi",136366,"Summer Tanager",205,0.0015
"Illinois",1120326,"Summer Tanager",1319,0.0012
"Iowa",273596,"Summer Tanager",341,0.0012
"Ohio",1322484,"Summer Tanager",1401,0.0011
"Tennessee",975045,"Summer Tanager",1092,0.0011
"Indiana",849567,"Summer Tanager",900,0.0011
"Nebraska",151459,"Summer Tanager",171,0.0011
"Virginia",1776624,"Summer Tanager",1834,0.001
"Georgia",1299183,"Summer Tanager",1284,0.001
"Vermont",59324,"Swamp Sparrow",1025,0.0173
"Rhode Island",130587,"Swamp Sparrow",1048,0.008
"Maine",134900,"Swamp Sparrow",1071,0.0079
"Georgia",1299183,"Swamp Sparrow",9748,0.0075
"Delaware",142005,"Swamp Sparrow",1043,0.0073
"Massachusetts",1069489,"Swamp Sparrow",7010,0.0066
"New York",1336435,"Swamp Sparrow",8666,0.0065
"Connecticut",577033,"Swamp Sparrow",3637,0.0063
"Pennsylvania",1941447,"Swamp Sparrow",11477,0.0059
"North Carolina",1909882,"Swamp Sparrow",10462,0.0055
"South Carolina",688623,"Swamp Sparrow",3632,0.0053
"Wisconsin",452914,"Swamp Sparrow",2416,0.0053
"Michigan",1006556,"Swamp Sparrow",4955,0.0049
"New Jersey",1257279,"Swamp Sparrow",5882,0.0047
"New Hampshire",248851,"Swamp Sparrow",1173,0.0047
"Alabama",431100,"Swamp Sparrow",1924,0.0045
"District of Columbia",70055,"Swamp Sparrow",313,0.0045
"Virginia",1776624,"Swamp Sparrow",6158,0.0035
"Maryland",1132870,"Swamp Sparrow",3123,0.0028
"West Virginia",167000,"Swamp Sparrow",429,0.0026
"Minnesota",413336,"Swamp Sparrow",1038,0.0025
"Illinois",1120326,"Swamp Sparrow",2309,0.0021
"Mississippi",136366,"Swamp Sparrow",283,0.0021
"Ohio",1322484,"Swamp Sparrow",2695,0.002
"North Dakota",10920,"Swamp Sparrow",22,0.002
"Tennessee",975045,"Swamp Sparrow",1770,0.0018
"Louisiana",231343,"Swamp Sparrow",424,0.0018
"Indiana",849567,"Swamp Sparrow",1341,0.0016
"Iowa",273596,"Swamp Sparrow",315,0.0012
"Florida",1055743,"Swamp Sparrow",1152,0.0011
"Kentucky",399499,"Swamp Sparrow",459,0.0011
"Nebraska",151459,"Swamp Sparrow",145,0.001
"South Dakota",15062,"Swamp Sparrow",15,0.001
"Washington",686801,"Thrush",1369,0.002
"Oregon",466881,"Townsends Warbler",1575,0.0034
"Connecticut",577033,"Tufted Titmouse",71137,0.1233
"New Hampshire",248851,"Tufted Titmouse",28954,0.1164
"Massachusetts",1069489,"Tufted Titmouse",108155,0.1011
"West Virginia",167000,"Tufted Titmouse",16494,0.0988
"Rhode Island",130587,"Tufted Titmouse",11177,0.0856
"New York",1336435,"Tufted Titmouse",103965,0.0778
"Georgia",1299183,"Tufted Titmouse",99433,0.0765
"Maine",134900,"Tufted Titmouse",10152,0.0753
"Vermont",59324,"Tufted Titmouse",4412,0.0744
"Tennessee",975045,"Tufted Titmouse",71824,0.0737
"North Carolina",1909882,"Tufted Titmouse",106785,0.0559
"Michigan",1006556,"Tufted Titmouse",53854,0.0535
"Kentucky",399499,"Tufted Titmouse",20642,0.0517
"New Jersey",1257279,"Tufted Titmouse",64495,0.0513
"Pennsylvania",1941447,"Tufted Titmouse",98753,0.0509
"Alabama",431100,"Tufted Titmouse",21960,0.0509
"Maryland",1132870,"Tufted Titmouse",54128,0.0478
"Virginia",1776624,"Tufted Titmouse",84072,0.0473
"Indiana",849567,"Tufted Titmouse",39940,0.047
"Arkansas",293409,"Tufted Titmouse",13649,0.0465
"Ohio",1322484,"Tufted Titmouse",57849,0.0437
"South Carolina",688623,"Tufted Titmouse",27755,0.0403
"Missouri",934010,"Tufted Titmouse",37544,0.0402
"Delaware",142005,"Tufted Titmouse",5039,0.0355
"Florida",1055743,"Tufted Titmouse",35308,0.0334
"Mississippi",136366,"Tufted Titmouse",4349,0.0319
"Kansas",534827,"Tufted Titmouse",14847,0.0278
"District of Columbia",70055,"Tufted Titmouse",1888,0.027
"Texas",2095781,"Tufted Titmouse",48660,0.0232
"Oklahoma",313048,"Tufted Titmouse",6558,0.0209
"Louisiana",231343,"Tufted Titmouse",4400,0.019
"Illinois",1120326,"Tufted Titmouse",16397,0.0146
"Iowa",273596,"Tufted Titmouse",3031,0.0111
"Wisconsin",452914,"Tufted Titmouse",4908,0.0108
"Nebraska",151459,"Tufted Titmouse",858,0.0057
"Minnesota",413336,"Tufted Titmouse",1825,0.0044
"Arizona",582640,"Varied Bunting",1404,0.0024
"California",2195708,"Varied Bunting",3535,0.0016
"Alaska",8740,"Varied Thrush",38,0.0043
"Washington",686801,"Varied Thrush",1401,0.002
"Oregon",466881,"Varied Thrush",620,0.0013
"Hawaii",53166,"Warbling White-Eye",127,0.0024
"New Mexico",156851,"Western Bluebird",860,0.0055
"Oregon",466881,"Western Bluebird",664,0.0014
"Arizona",582640,"Western Tanager",2522,0.0043
"Oregon",466881,"Western Tanager",1972,0.0042
"Idaho",54716,"Western Tanager",134,0.0024
"Washington",686801,"Western Tanager",1018,0.0015
"Nevada",90901,"Western Tanager",139,0.0015
"Maine",134900,"White-Breasted Nuthatch",5417,0.0402
"Vermont",59324,"White-Breasted Nuthatch",2294,0.0387
"Connecticut",577033,"White-Breasted Nuthatch",20041,0.0347
"North Dakota",10920,"White-Breasted Nuthatch",374,0.0342
"Minnesota",413336,"White-Breasted Nuthatch",13397,0.0324
"New Hampshire",248851,"White-Breasted Nuthatch",8038,0.0323
"New York",1336435,"White-Breasted Nuthatch",34708,0.026
"Massachusetts",1069489,"White-Breasted Nuthatch",27526,0.0257
"Iowa",273596,"White-Breasted Nuthatch",7021,0.0257
"Michigan",1006556,"White-Breasted Nuthatch",24464,0.0243
"South Dakota",15062,"White-Breasted Nuthatch",350,0.0232
"West Virginia",167000,"White-Breasted Nuthatch",3567,0.0214
"Rhode Island",130587,"White-Breasted Nuthatch",2780,0.0213
"New Jersey",1257279,"White-Breasted Nuthatch",26301,0.0209
"Wisconsin",452914,"White-Breasted Nuthatch",8515,0.0188
"Pennsylvania",1941447,"White-Breasted Nuthatch",35752,0.0184
"Maryland",1132870,"White-Breasted Nuthatch",20822,0.0184
"Ohio",1322484,"White-Breasted Nuthatch",19875,0.015
"Indiana",849567,"White-Breasted Nuthatch",12759,0.015
"Illinois",1120326,"White-Breasted Nuthatch",15232,0.0136
"Virginia",1776624,"White-Breasted Nuthatch",23897,0.0135
"Nebraska",151459,"White-Breasted Nuthatch",1757,0.0116
"District of Columbia",70055,"White-Breasted Nuthatch",747,0.0107
"Georgia",1299183,"White-Breasted Nuthatch",13261,0.0102
"Kentucky",399499,"White-Breasted Nuthatch",3843,0.0096
"Missouri",934010,"White-Breasted Nuthatch",8759,0.0094
"Tennessee",975045,"White-Breasted Nuthatch",8906,0.0091
"Delaware",142005,"White-Breasted Nuthatch",1263,0.0089
"Kansas",534827,"White-Breasted Nuthatch",3975,0.0074
"Arkansas",293409,"White-Breasted Nuthatch",2159,0.0074
"North Carolina",1909882,"White-Breasted Nuthatch",13994,0.0073
"Alabama",431100,"White-Breasted Nuthatch",2814,0.0065
"South Carolina",688623,"White-Breasted Nuthatch",3579,0.0052
"Colorado",486631,"White-Breasted Nuthatch",2012,0.0041
"Oklahoma",313048,"White-Breasted Nuthatch",1222,0.0039
"Montana",25244,"White-Breasted Nuthatch",63,0.0025
"Texas",2095781,"White-Breasted Nuthatch",4745,0.0023
"Mississippi",136366,"White-Breasted Nuthatch",289,0.0021
"California",2195708,"White-Breasted Nuthatch",3493,0.0016
"New Mexico",156851,"White-Breasted Nuthatch",213,0.0014
"Louisiana",231343,"White-Breasted Nuthatch",248,0.0011
"Nevada",90901,"White-Crowned Sparrow",5361,0.059
"California",2195708,"White-Crowned Sparrow",105618,0.0481
"Idaho",54716,"White-Crowned Sparrow",1312,0.024
"Alaska",8740,"White-Crowned Sparrow",119,0.0136
"Georgia",1299183,"White-Crowned Sparrow",15145,0.0117
"North Dakota",10920,"White-Crowned Sparrow",121,0.0111
"Oregon",466881,"White-Crowned Sparrow",4678,0.01
"Utah",194571,"White-Crowned Sparrow",1903,0.0098
"Montana",25244,"White-Crowned Sparrow",247,0.0098
"Kansas",534827,"White-Crowned Sparrow",5031,0.0094
"Alabama",431100,"White-Crowned Sparrow",3990,0.0093
"South Carolina",688623,"White-Crowned Sparrow",6266,0.0091
"Washington",686801,"White-Crowned Sparrow",6104,0.0089
"Arizona",582640,"White-Crowned Sparrow",5024,0.0086
"Texas",2095781,"White-Crowned Sparrow",16646,0.0079
"New Mexico",156851,"White-Crowned Sparrow",1228,0.0078
"Mississippi",136366,"White-Crowned Sparrow",1053,0.0077
"North Carolina",1909882,"White-Crowned Sparrow",13902,0.0073
"Colorado",486631,"White-Crowned Sparrow",3530,0.0073
"Louisiana",231343,"White-Crowned Sparrow",1591,0.0069
"Oklahoma",313048,"White-Crowned Sparrow",2062,0.0066
"Florida",1055743,"White-Crowned Sparrow",4831,0.0046
"Michigan",1006556,"White-Crowned Sparrow",4633,0.0046
"Arkansas",293409,"White-Crowned Sparrow",1311,0.0045
"Vermont",59324,"White-Crowned Sparrow",256,0.0043
"Wisconsin",452914,"White-Crowned Sparrow",1890,0.0042
"District of Columbia",70055,"White-Crowned Sparrow",287,0.0041
"Nebraska",151459,"White-Crowned Sparrow",604,0.004
"Pennsylvania",1941447,"White-Crowned Sparrow",7636,0.0039
"South Dakota",15062,"White-Crowned Sparrow",59,0.0039
"Illinois",1120326,"White-Crowned Sparrow",4144,0.0037
"Virginia",1776624,"White-Crowned Sparrow",5973,0.0034
"Missouri",934010,"White-Crowned Sparrow",3098,0.0033
"Rhode Island",130587,"White-Crowned Sparrow",379,0.0029
"New Jersey",1257279,"White-Crowned Sparrow",3513,0.0028
"New York",1336435,"White-Crowned Sparrow",3647,0.0027
"Indiana",849567,"White-Crowned Sparrow",2132,0.0025
"Iowa",273596,"White-Crowned Sparrow",670,0.0024
"Connecticut",577033,"White-Crowned Sparrow",1304,0.0023
"Ohio",1322484,"White-Crowned Sparrow",2872,0.0022
"Massachusetts",1069489,"White-Crowned Sparrow",2352,0.0022
"Maine",134900,"White-Crowned Sparrow",295,0.0022
"Tennessee",975045,"White-Crowned Sparrow",1944,0.002
"Maryland",1132870,"White-Crowned Sparrow",2132,0.0019
"Kentucky",399499,"White-Crowned Sparrow",726,0.0018
"New Hampshire",248851,"White-Crowned Sparrow",447,0.0018
"Delaware",142005,"White-Crowned Sparrow",252,0.0018
"Wyoming",11078,"White-Crowned Sparrow",20,0.0018
"Minnesota",413336,"White-Crowned Sparrow",630,0.0015
"North Dakota",10920,"White-Throated Sparrow",133,0.0122
"New Jersey",1257279,"White-Throated Sparrow",15039,0.012
