"state","state_total","species","species_total","p"
"New Mexico",156851,"Northern Mockingbird",350,0.0022
"Colorado",486631,"Northern Mockingbird",689,0.0014
"Vermont",59324,"Northern Mockingbird",85,0.0014
"California",2195708,"Northern Mockingbird",2840,0.0013
"Illinois",1120326,"Northern Mockingbird",1432,0.0013
"Michigan",1006556,"Northern Mockingbird",1143,0.0011
"Utah",194571,"Northern Mockingbird",200,0.001
"California",2195708,"Nuttalls Woodpecker",5201,0.0024
"California",2195708,"Oak Titmouse",16685,0.0076
"South Dakota",15062,"Orange-Crowned Warbler",64,0.0042
"Idaho",54716,"Orange-Crowned Warbler",148,0.0027
"North Dakota",10920,"Orange-Crowned Warbler",30,0.0027
"Montana",25244,"Orange-Crowned Warbler",61,0.0024
"Nevada",90901,"Orange-Crowned Warbler",212,0.0023
"Texas",2095781,"Orange-Crowned Warbler",3945,0.0019
"Oregon",466881,"Orange-Crowned Warbler",672,0.0014
"Florida",1055743,"Orange-Crowned Warbler",1139,0.0011
"Minnesota",413336,"Orange-Crowned Warbler",402,0.001
"Louisiana",231343,"Orange-Crowned Warbler",226,0.001
"Utah",194571,"Orange-Crowned Warbler",203,0.001
"South Carolina",688623,"Orchard Oriole",6149,0.0089
"Georgia",1299183,"Orchard Oriole",11056,0.0085
"Arkansas",293409,"Orchard Oriole",2054,0.007
"North Carolina",1909882,"Orchard Oriole",13073,0.0068
"Alabama",431100,"Orchard Oriole",2755,0.0064
"Florida",1055743,"Orchard Oriole",6616,0.0063
"Mississippi",136366,"Orchard Oriole",853,0.0063
"Louisiana",231343,"Orchard Oriole",1260,0.0054
"District of Columbia",70055,"Orchard Oriole",372,0.0053
"Kansas",534827,"Orchard Oriole",2762,0.0052
"Nebraska",151459,"Orchard Oriole",791,0.0052
"Missouri",934010,"Orchard Oriole",4289,0.0046
"Indiana",849567,"Orchard Oriole",3855,0.0045
"Tennessee",975045,"Orchard Oriole",4312,0.0044
"Virginia",1776624,"Orchard Oriole",6556,0.0037
"Oklahoma",313048,"Orchard Oriole",1108,0.0035
"Iowa",273596,"Orchard Oriole",890,0.0033
"Texas",2095781,"Orchard Oriole",6707,0.0032
"Ohio",1322484,"Orchard Oriole",4244,0.0032
"Kentucky",399499,"Orchard Oriole",1259,0.0032
"Illinois",1120326,"Orchard Oriole",3402,0.003
"Maryland",1132870,"Orchard Oriole",2962,0.0026
"New Hampshire",248851,"Orchard Oriole",640,0.0026
"Rhode Island",130587,"Orchard Oriole",307,0.0024
"Pennsylvania",1941447,"Orchard Oriole",4311,0.0022
"Michigan",1006556,"Orchard Oriole",2227,0.0022
"Massachusetts",1069489,"Orchard Oriole",2143,0.002
"Wisconsin",452914,"Orchard Oriole",926,0.002
"Delaware",142005,"Orchard Oriole",279,0.002
"West Virginia",167000,"Orchard Oriole",319,0.0019
"South Dakota",15062,"Orchard Oriole",29,0.0019
"Maine",134900,"Orchard Oriole",230,0.0017
"New Jersey",1257279,"Orchard Oriole",2030,0.0016
"Connecticut",577033,"Orchard Oriole",910,0.0016
"New York",1336435,"Orchard Oriole",1939,0.0015
"Minnesota",413336,"Orchard Oriole",496,0.0012
"Vermont",59324,"Orchard Oriole",68,0.0011
"Florida",1055743,"Painted Bunting",12614,0.0119
"Louisiana",231343,"Painted Bunting",327,0.0014
"Maine",134900,"Pileated Woodpecker",299,0.0022
"Vermont",59324,"Pileated Woodpecker",108,0.0018
"Minnesota",413336,"Pileated Woodpecker",687,0.0017
"New Hampshire",248851,"Pileated Woodpecker",363,0.0015
"Connecticut",577033,"Pileated Woodpecker",799,0.0014
"Wisconsin",452914,"Pileated Woodpecker",648,0.0014
"Rhode Island",130587,"Pileated Woodpecker",182,0.0014
"Iowa",273596,"Pileated Woodpecker",357,0.0013
"South Dakota",15062,"Pileated Woodpecker",19,0.0013
"New York",1336435,"Pileated Woodpecker",1556,0.0012
"Massachusetts",1069489,"Pileated Woodpecker",1256,0.0012
"Michigan",1006556,"Pileated Woodpecker",1182,0.0012
"Kansas",534827,"Pileated Woodpecker",556,0.001
"Alaska",8740,"Pine Grosbeak",742,0.0849
"Montana",25244,"Pine Grosbeak",334,0.0132
"Idaho",54716,"Pine Grosbeak",606,0.0111
"Utah",194571,"Pine Grosbeak",1839,0.0095
"Colorado",486631,"Pine Grosbeak",3659,0.0075
"Minnesota",413336,"Pine Grosbeak",2259,0.0055
"New Mexico",156851,"Pine Grosbeak",829,0.0053
"Wyoming",11078,"Pine Grosbeak",50,0.0045
"North Dakota",10920,"Pine Grosbeak",40,0.0037
"Washington",686801,"Pine Grosbeak",2264,0.0033
"Vermont",59324,"Pine Grosbeak",192,0.0032
"Nevada",90901,"Pine Grosbeak",265,0.0029
"New Hampshire",248851,"Pine Grosbeak",696,0.0028
"Connecticut",577033,"Pine Grosbeak",1214,0.0021
"Massachusetts",1069489,"Pine Grosbeak",2134,0.002
"Oregon",466881,"Pine Grosbeak",956,0.002
"Rhode Island",130587,"Pine Grosbeak",260,0.002
"Maine",134900,"Pine Grosbeak",255,0.0019
"New York",1336435,"Pine Grosbeak",1819,0.0014
"Wisconsin",452914,"Pine Grosbeak",517,0.0011
"Montana",25244,"Pine Siskin",2552,0.1011
"Utah",194571,"Pine Siskin",15438,0.0793
"Colorado",486631,"Pine Siskin",37779,0.0776
"Idaho",54716,"Pine Siskin",3527,0.0645
"Wyoming",11078,"Pine Siskin",700,0.0632
"Nevada",90901,"Pine Siskin",5318,0.0585
"Minnesota",413336,"Pine Siskin",20714,0.0501
"South Dakota",15062,"Pine Siskin",679,0.0451
"North Dakota",10920,"Pine Siskin",460,0.0421
"New Mexico",156851,"Pine Siskin",5490,0.035
"Iowa",273596,"Pine Siskin",9544,0.0349
"Wisconsin",452914,"Pine Siskin",15408,0.034
"Washington",686801,"Pine Siskin",22881,0.0333
"California",2195708,"Pine Siskin",71270,0.0325
"Indiana",849567,"Pine Siskin",23202,0.0273
"Oregon",466881,"Pine Siskin",11368,0.0243
